2016-04-16 14:43:38,496 {u'conditions': [{u'train': u'12684'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 98, u'hours_before': 0}
2016-04-16 14:43:38,536 {u'conditions': [{u'train': u'12615'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 14, u'hours_before': 0}
2016-04-16 14:43:38,575 {u'conditions': [{u'train': u'12864'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 14, u'hours_before': 0}
2016-04-16 14:43:38,608 {u'conditions': [{u'train': u'12779'}, {u'class': u'SL'}, {u'quota': u'RLGN'}], u'waiting_list': 33, u'hours_before': 0}
2016-04-16 14:43:38,638 {u'conditions': [{u'train': u'12864'}, {u'class': u'3A'}, {u'quota': u'PQWL'}], u'waiting_list': 28, u'hours_before': 0}
2016-04-16 14:43:38,670 {u'conditions': [{u'train': u'12623'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 3, u'hours_before': 0}
2016-04-16 14:43:38,703 {u'conditions': [{u'train': u'12554'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 186, u'hours_before': 3}
2016-04-16 14:43:38,736 {u'conditions': [{u'train': u'11302'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 77, u'hours_before': 0}
2016-04-16 14:43:38,769 {u'conditions': [{u'train': u'11302'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 2, u'hours_before': 0}
2016-04-16 14:43:38,802 {u'conditions': [{u'train': u'11302'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 76, u'hours_before': 0}
2016-04-16 14:43:38,835 {u'conditions': [{u'train': u'16527'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 42, u'hours_before': 0}
2016-04-16 14:43:38,865 {u'conditions': [{u'train': u'12909'}, {u'class': u'3A'}, {u'quota': u'RLGN'}], u'waiting_list': 4, u'hours_before': 0}
2016-04-16 14:43:38,898 {u'conditions': [{u'train': u'16232'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 1, u'hours_before': 0}
2016-04-16 14:43:38,934 {u'conditions': [{u'train': u'12864'}, {u'class': u'2A'}, {u'quota': u'CK'}], u'waiting_list': 4, u'hours_before': 0}
2016-04-16 14:43:38,970 {u'conditions': [{u'train': u'12864'}, {u'class': u'2A'}, {u'quota': u'CK'}], u'waiting_list': 6, u'hours_before': 0}
2016-04-16 14:43:39,000 {u'conditions': [{u'train': u'12740'}, {u'class': u'3A'}, {u'quota': u'PQWL'}], u'waiting_list': 13, u'hours_before': 0}
2016-04-16 14:43:39,030 {u'conditions': [{u'train': u'12566'}, {u'class': u'SL'}, {u'quota': u'RLGN'}], u'waiting_list': 14, u'hours_before': 0}
2016-04-16 14:43:39,062 {u'conditions': [{u'train': u'12740'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 4, u'hours_before': 0}
2016-04-16 14:43:39,099 {u'conditions': [{u'train': u'16236'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 21, u'hours_before': 0}
2016-04-16 14:43:39,131 {u'conditions': [{u'train': u'22691'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 26, u'hours_before': 0}
2016-04-16 14:43:39,164 {u'conditions': [{u'train': u'16523'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 44, u'hours_before': 0}
2016-04-16 14:43:39,197 {u'conditions': [{u'train': u'12601'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 3, u'hours_before': 4}
2016-04-16 14:43:39,233 {u'conditions': [{u'train': u'16527'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 39, u'hours_before': 0}
2016-04-16 14:43:39,266 {u'conditions': [{u'train': u'16527'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 43, u'hours_before': 0}
2016-04-16 14:43:39,302 {u'conditions': [{u'train': u'16022'}, {u'class': u'2A'}, {u'quota': u'CK'}], u'waiting_list': 3, u'hours_before': 0}
2016-04-16 14:43:39,332 {u'conditions': [{u'train': u'12163'}, {u'class': u'3A'}, {u'quota': u'GNWL'}], u'waiting_list': 16, u'hours_before': 3}
2016-04-16 14:43:39,365 {u'conditions': [{u'train': u'15696'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 15, u'hours_before': 0}
2016-04-16 14:43:39,398 {u'conditions': [{u'train': u'06517'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 33, u'hours_before': 0}
2016-04-16 14:43:39,430 {u'conditions': [{u'train': u'16041'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 1, u'hours_before': 0}
2016-04-16 14:43:39,467 {u'conditions': [{u'train': u'22134'}, {u'class': u'2A'}, {u'quota': u'CK'}], u'waiting_list': 4, u'hours_before': 0}
2016-04-16 14:43:39,500 {u'conditions': [{u'train': u'17487'}, {u'class': u'SL'}, {u'quota': u'PQWL'}], u'waiting_list': 66, u'hours_before': 0}
2016-04-16 14:43:39,529 {u'conditions': [{u'train': u'12953'}, {u'class': u'2A'}, {u'quota': u'RLGN'}], u'waiting_list': 6, u'hours_before': 0}
2016-04-16 14:43:39,561 {u'conditions': [{u'train': u'19407'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 19, u'hours_before': 0}
2016-04-16 14:43:39,595 {u'conditions': [{u'train': u'12257'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 26, u'hours_before': 0}
2016-04-16 14:43:39,628 {u'conditions': [{u'train': u'12257'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 31, u'hours_before': 0}
2016-04-16 14:43:39,663 {u'conditions': [{u'train': u'18510'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 3, u'hours_before': 0}
2016-04-16 14:43:39,698 {u'conditions': [{u'train': u'18510'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 10, u'hours_before': 0}
2016-04-16 14:43:39,730 {u'conditions': [{u'train': u'16236'}, {u'class': u'SL'}, {u'quota': u'RLGN'}], u'waiting_list': 76, u'hours_before': 0}
2016-04-16 14:43:39,763 {u'conditions': [{u'train': u'16236'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 33, u'hours_before': 0}
2016-04-16 14:43:39,801 {u'conditions': [{u'train': u'18510'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 8, u'hours_before': 0}
2016-04-16 14:43:39,836 {u'conditions': [{u'train': u'16236'}, {u'class': u'2A'}, {u'quota': u'CK'}], u'waiting_list': 4, u'hours_before': 0}
2016-04-16 14:43:39,871 {u'conditions': [{u'train': u'16589'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 39, u'hours_before': 0}
2016-04-16 14:43:39,905 {u'conditions': [{u'train': u'12637'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 36, u'hours_before': 0}
2016-04-16 14:43:39,937 {u'conditions': [{u'train': u'12257'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 23, u'hours_before': 0}
2016-04-16 14:43:39,986 {u'conditions': [{u'train': u'16210'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 43, u'hours_before': 0}
2016-04-16 14:43:40,017 {u'conditions': [{u'train': u'16210'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 8, u'hours_before': 0}
2016-04-16 14:43:40,049 {u'conditions': [{u'train': u'19707'}, {u'class': u'SL'}, {u'quota': u'PQWL'}], u'waiting_list': 35, u'hours_before': 0}
2016-04-16 14:43:40,082 {u'conditions': [{u'train': u'12629'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 2, u'hours_before': 0}
2016-04-16 14:43:40,117 {u'conditions': [{u'train': u'16101'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 23, u'hours_before': 0}
2016-04-16 14:43:40,151 {u'conditions': [{u'train': u'16526'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 4, u'hours_before': 0}
2016-04-16 14:43:40,184 {u'conditions': [{u'train': u'16592'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 31, u'hours_before': 0}
2016-04-16 14:43:40,213 {u'conditions': [{u'train': u'13020'}, {u'class': u'2A'}, {u'quota': u'GNWL'}], u'waiting_list': 6, u'hours_before': 0}
2016-04-16 14:43:40,247 {u'conditions': [{u'train': u'12621'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 23, u'hours_before': 6}
2016-04-16 14:43:40,282 {u'conditions': [{u'train': u'12621'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 7, u'hours_before': 0}
2016-04-16 14:43:40,316 {u'conditions': [{u'train': u'16179'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 18, u'hours_before': 0}
2016-04-16 14:43:40,351 {u'conditions': [{u'train': u'12621'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 5, u'hours_before': 0}
2016-04-16 14:43:40,384 {u'conditions': [{u'train': u'12621'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 10, u'hours_before': 0}
2016-04-16 14:43:40,418 {u'conditions': [{u'train': u'12621'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 3, u'hours_before': 0}
2016-04-16 14:43:40,450 {u'conditions': [{u'train': u'12901'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 3, u'hours_before': 0}
2016-04-16 14:43:40,483 {u'conditions': [{u'train': u'16526'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 50, u'hours_before': 0}
2016-04-16 14:43:40,517 {u'conditions': [{u'train': u'16526'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 52, u'hours_before': 0}
2016-04-16 14:43:40,549 {u'conditions': [{u'train': u'13202'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 379, u'hours_before': 0}
2016-04-16 14:43:40,582 {u'conditions': [{u'train': u'18205'}, {u'class': u'SL'}, {u'quota': u'RLGN'}], u'waiting_list': 47, u'hours_before': 0}
2016-04-16 14:43:40,617 {u'conditions': [{u'train': u'16179'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 5, u'hours_before': 0}
